                                     | Core 0    
  Instructions                       |      71047
  Cycles                             |     288286
  IPC                                |       0.25
  Time (ns)                          |     108378
  Idle time (ns)                     |      96085
  Idle time (%)                      |      88.7%
Branch predictor stats               |           
  num correct                        |       5007
  num incorrect                      |          7
  misprediction rate                 |      0.14%
  mpki                               |       0.10
TLB Summary                          |           
Cache Summary                        |           
  Cache L1-I                         |           
    num cache accesses               |      13016
    num cache misses                 |         13
    miss rate                        |      0.10%
    mpki                             |       0.18
  Cache L1-D                         |           
    num cache accesses               |      45053
    num cache misses                 |         10
    miss rate                        |      0.02%
    mpki                             |       0.14
  Cache L2                           |           
    num cache accesses               |         25
    num cache misses                 |         23
    miss rate                        |     92.00%
    mpki                             |       0.32
  Cache L3                           |           
    num cache accesses               |         25
    num cache misses                 |         23
    miss rate                        |     92.00%
    mpki                             |       0.32
DRAM summary                         |           
  num dram accesses                  |         23
  average dram access latency (ns)   |     124.57
  average dram queueing delay        |      71.14
  average dram bandwidth utilization |      0.00%
Coherency Traffic                    |           
  num loads from dram                |          6
  num loads from dram cache          |          0
  num loads from remote cache        |          0
